"Index","Page","Heading1","Heading2","Item","Anchor","InternalAction","Comment"
"30","52","10. Intellectual Property","10.3 Use of Supplier's Background IP","(a)","The Supplier grants to the Principal (or, where the Supplier does not own all Intellectual Property Rights in the Supplier's Background IP, shall procure that the relevant third party grants to the Principal) a non-exclusive, non-transferable, royalty-free licence to use the Supplier's Background IP solely to the extent necessary to:","False","Supplier requests the proposed amendments as the Supplier's Background IP comprises the Supplier's proprietary technology, know-how, software and other intellectual property. The licence should be limited to the rights reasonably required to install, operate, maintain and repair the Equipment. Transferable, sublicensable and commercialisation rights are not appropriate for the supply of off-the-shelf equipment and could permit use of the Supplier's technology beyond the intended purpose of the Contract."
"31","54","","10.4 Project IP","(a)","The Supplier acknowledges and agrees that ownership of the Project IP (whether complete or not) will vest in the Supplier. The Supplier shall grant to the Principal a liscense on the terms set out in clause 10.3 (a) for the sole purpose of using the Equipment in accordance with clause 10.3. Principal on its creation and nothing in this Contract limits the Principal's subsequent use or exploitation of the Project IP. To the extent the Project IP does not automatically vest in the Principal, the Supplier assigns all rights, title and interest in and to the Project IP to the Principal as and when it is created.","False","We request the proposed amendment, as Project IP may comprise or incorporate the Supplier's proprietary technology, know-how, methodologies and other intellectual property, which the Supplier is not in a position to assign to the Principal. The proposed licence provides the Principal with the rights required to use the Project IP for the purposes contemplated by the Contract while preserving ownership of the Supplier's intellectual property."
"32","56","","11.3 Disclosure of Confidential Information","(a)","The Supplier must, prior to disclosure of Confidential Information to any person referred to in clause 11.3(a)(b), procure from that person a confidentiality undertaking for the benefit of the Principal which is consistent with the terms of this clause 11.","True","We request deletion of this requirement. The Supplier is subject to contractual and internal confidentiality obligations in respect of persons to whom Confidential Information may be disclosed, and obtaining separate confidentiality undertakings from each recipient would create an unnecessary administrative burden without providing any additional practical protection to the Principal."
"33","58","13. Subcontracting and arrangements for Supplier's Personnel","13.1 Subcontracting generally","13.2","Not UsedWarranties from Subcontractors","False","We request deletion of this provision. The Supplier remains fully responsible for its obligations and warranties under the Contract and warrants the Equipment as a whole. Separate warranties from subcontractors are unnecessary and may not be available from all subcontractors engaged by the Supplier."
"34","62","","","(c)","upon Acceptance, be Fit for Purpose;","False","As explained in previous points, Supplier requests deletion of this requirement as ""fitness for purpose"" is a broad concept that is not appropriate for the supply of complex off-the-shelf electrical equipment. The Supplier's obligations should be limited to compliance with the agreed specifications, Minimum Performance Criteria and the express warranties provided under the Contract."
"35","62","","","(e)","on and from the Date of Acceptance be free from any Defects (other than minor Defects set out in the notice of Acceptance given under clause 16.6(a)), including quality, safety and latent Defects; and","False","We request deletion of the reference to latent Defects. The Supplier's obligations in respect of defects are comprehensively addressed through the warranty provisions of the Contract, and a separate warranty regarding latent Defects is unnecessary and may create uncertainty regarding the scope and duration of the Supplier's obligations."
"36","62","","","(f)","have the design lifelife expectancy:","False","Request that ""life expectancy"" be replaced with ""design life"" as specified in the Scope of Work. ""Life expectancy"" is a broad and subjective concept that may be influenced by factors beyond the Supplier's control, whereas ""design life"" is an objective and measurable engineering criterion which is a part of the Scope of Work document."
"37","64","15. Time and delay","15.2 Program","","","False","Weekly updates to Program are not standard and considered unnecessary, we request for deletion."
"38","65","","","","","False","We request deletion of this provision, as the Program is the agreed planning and scheduling tool for the Contract and provides the basis for assessing progress, time impacts and any associated entitlement to relief. Disregarding the Program for claim assessment purposes creates uncertainty as to the basis on which time-related matters will be evaluated."
"39","65","","15.3 Acceleration by the Supplier","","If the Supplier chooses to accelerate progress of the Supplier Scope in an attempt to achieve Delivery by or before the Date for Delivery:","False","It will be Supplier’s obligation to accelerate to meet the Delivery Date if required and in such instances, Principal should be required to assist the Supplier."
"40","68","","15.9 Suspension by the Principal","(c)","For any suspension directed by the Principal for convenience or any other reason not attributable to the Supplier, the Principal shall reimburse the Supplier for all costs, expenses and impacts reasonably incurred as a result of the suspension, including but not limited to demobilisation, remobilisation, storage, standby and delay-related costs. The Supplier shall be entitled to a corresponding extension of time and equitable adjustment to the Supply Order Sum. If such suspension continues for more than 90 days in the cumulative aggregate, the Supplier may, by notice to the Principal, terminate the affected Supply Order and recover its reasonable costs arising from such termination.","False","For any suspension directed by the Principal for convenience, the Principal shall reimburse the Supplier for all costs, expenses and impacts reasonably incurred as a result of the suspension, including demobilisation, remobilisation, storage, standby and delay-related costs. The Supplier shall be entitled to a corresponding extension of time and equitable adjustment to the Supply Order Sum. If such suspension continues for more than 90 days, the Supplier may, by notice to the Principal, terminate the affected Supply Order and recover its reasonable costs arising from such termination."
"41","71","","16.4 Delivery","16.5","Not UsedInstallation and commissioning","False","We request deletion of this clause, as the Supplier's obligations under this Contract are limited to the supply of Equipment. Installation, erection and commissioning activities will not form part of the Supplier's scope, other than any limited training or technical assistance expressly specified / elected in the relevant Supply Order."
"42","73","","","(o)","If the Principal fails to complete the Acceptance Tests or provide notice of rejection within 28 days after Delivery, the Equipment shall be deemed accepted.","True","We request the proposed amendment as the current drafting links Acceptance to an action required to be performed by the Principal. Absent a deemed acceptance mechanism, Acceptance may be delayed indefinitely, leaving the Supplier exposed to ongoing uncertainty."
"43","74","","16.7 Not UsedSite arrangements for the Services","(a)","The Principal will provide the Supplier with no less than 7 days' prior notice of when it requires the Supplier to perform the Services at Site, including details of the Services the Principal requires performed and its manning requirements.","False","We request deletion of this provision, as the Supplier's scope under this Contract is limited to the supply of Equipment. Site-based services, manpower requirements and related site arrangements are not contemplated other than any limited training or technical assistance expressly agreed in the relevant Supply Order."
"44","75","","16.8 Not UsedRights and obligations not affected","","The carrying out of assembly, erection, installation or commissioning of the Equipment by the Principal or the Principal's Acceptance of the Equipment (in whole or in part) does not:","False","Supplier requests deletion of this provision, as it relates to assembly, erection, installation and commissioning activities that do not form part of the Supplier's scope under this supply-only arrangement. The Supplier's obligations will be limited to the supply of Equipment and any expressly agreed ancillary services."
"45","76","","16.9 Spare Parts","","16.10 If delivery of the Equipment is delayed due to any act, omission, request or failure of the Principal, the Equipment shall be deemed delivered on the originally scheduled delivery date. The Supplier shall be entitled to invoice the Equipment as if delivery had occurred and recover any reasonable storage, handling, demobilisation, remobilisation and associated costs incurred as a result of such delay.","False","We request the proposed amendment as delays may arise due to site readiness, access restrictions or other matters outside the Supplier's control. The Supplier should not be required to bear storage, handling, financing or remobilisation costs resulting from Principal-caused delay."
"46","76","17. Liability for Delays","17.1 Delay Liquidated Damages","(b)","Any Delay Liquidated Damages under this clause 17.1 will be a debt due and payable by the Supplier to the Principal on demand. The Principal may give the Supplier a demand for the payment of Delay Liquidated Damages even though Delivery has not occurred. Provided however, if the Date of Delivery is met by the Supplier subsequently, any Liquidated Damages imposed before Delivery shall be refunded to the Suppler.","False","Supplier requests inclusion of the proposed wording to ensure that Delay Liquidated Damages are only retained where a delay has ultimately occurred. Where the Supplier achieves Delivery by the applicable Date for Delivery, any Delay Liquidated Damages previously imposed should be refunded to reflect the actual contractual position."
"47","76","17. Liability for Delays","17.1 Delay Liquidated Damages","(e)","The payment of Delay Liquidated Damages does not relieve the Supplier from its obligation to achieve Delivery, or from any other of its obligations, warranties and liabilities under or in connection with this Contract. Liquidated Damages shall be the sole and exclusive remedy of the Principal with respect to any delay’s under the relevant Supply Order, other than the Principal’s right to terminate the Supply Order.","False","Supplier requests inclusion of the proposed wording to ensure that Delay Liquidated Damages operate as the agreed and exclusive remedy for delay. This preserves the parties' agreed allocation of risk and provides certainty as to the Supplier's liability in respect of delayed Delivery."
"48","76","17. Liability for Delays","17.1 Delay Liquidated Damages","(f)","If any part of this clause 17.1 is found for any reason to be void, invalid or otherwise inoperative so as to disentitle the Principal from claiming Delay Liquidated Damages:","False","We request the proposed amendment. If Delay Liquidated Damages are found to be unenforceable and replaced by a claim for general damages, such damages should remain subject to the same liability allocation and limitations that would otherwise have applied to the Delay Liquidated Damages regime."
"49","78","18. Defects","18.2 Warranty Period","(c)","repair, rectify or replace any component of the Equipment or otherwise make good the Defect and any damage caused by the Defect (Remedial Work) within the time agreed between the parties and reasonably specified in the Principal’s Direction; and","False","Supplier requests the proposed amendment to align with the Supplier's standard warranty offering, which is limited to the repair, rectification or replacement of defective Equipment, together with the direct costs of undertaking such work. Any indirect, consequential or broader remedial works costs fall outside the intended scope of the warranty remedy."
"50","79","","","(a)","In addition to the Principal's rights to Direct the Supplier to carry out Remedial Work, the Principal may, at any time prior to the expiry of the Warranty Period, Direct the Supplier to provide a temporary solution to keep the Equipment functional whilst that Remedial Work is being carried out. The Supplier shall assess the Principal's Direction and, where reasonably practicable, use reasonable endeavors to facilitate the temporary solution. The Supplier shall not be obliged to comply with a Direction where the proposed temporary solution is not technically feasible, would compromise the safe operation of the Equipment, would adversely affect the Supplier's warranty obligations, or cannot reasonably be implemented by the Supplier. Where the Supplier agrees to implement a temporary solution, the Parties shall agree any resulting costs, delay and other consequences, which shall constitute a Variation and be borne by the Principal.The Supplier must comply with the Principal's Direction at its cost (including the cost to install, operate and remove any temporary solution).","False","Supplier requests the proposed amendment as temporary solutions may not always be technically feasible, safe or compatible with the Equipment and associated warranty requirements. The Supplier should retain discretion to assess the requested temporary solution and decline implementation where it cannot reasonably be achieved. Where a temporary solution is requested by the Principal and agreed by the Supplier, any associated costs and schedule impacts should be borne by the Principal as a Variation."
"51","80","","","","The warranty shall not apply to any defect arising from:","False","We request the proposed amendment to incorporate standard warranty exclusions for matters outside the Supplier's control."
"52","85","","","(b)","will not be liable for, and the Supplier will not be entitled to Cclaim, any off site or corporate overheads, profit, loss of profit, loss of revenue, loss of business opportunity or any other Loss, under any applicable Law or otherwise, in connection with the Variation.","False","Supplier requests the proposed amendment, as the omission of Supplier Scope may adversely impact the Supplier's recovery of costs incurred in planning, resourcing and administering the omitted work. Reasonable overhead costs should therefore remain recoverable."
"53","86","","20.5 Principal’s Directions as Variations","(a)","immediately notify the Principal accordingly; and","False","Supplier requests deletion of “immediately”, as when read together with the claim bar mechanism under clause 20.5, this may have the effect of barring a valid Variation entitlement unless notice is given immediately. The prescribed notice period should provide the applicable timeframe for notification, to ensure certainty and avoid an unintended immediate bar to entitlement."
"54","92","22. Taxes","22.1 Payment of Taxes","(a)","the Supplier must obtain all customs duty concessions it is entitled to obtain in respect of the Equipment and hold those concessions for the benefit of the Principal.","False","Supplier requests deletion of this provision. The Contract Sum has been established taking into account the customs duty concessions reasonably expected to be available in connection with the supply of the Equipment. Accordingly, the benefit of such concessions is already reflected in the agreed pricing."
"55","93","23. Title and risk","23.1 Title","(a)","Title in the Equipment transfers to the Principal on the laterearlier of:","False","Supplier requests the proposed amendment, as title to the Equipment should transfer only upon full payment of the relevant amounts due. This reflects a standard retention of title arrangement and provides the Supplier with security for payment of the Equipment supplied under the Contract."
"56","94","","23.2 Risk","","","False","Supplier requests the proposed amendment to align the transfer of risk with the agreed delivery point. As the Equipment may be delivered in stages or to multiple locations, reference to the first point of Delivery provides greater certainty as to when responsibility for care, custody and risk transfers"
"57","94","","23.2 Risk","(a)","the Supplier is responsible for any loss or damage to the Equipment caused by the Supplier or its Personnel in the course of performing any Services including, where clause 16.5 applies, any installation or commissioning or undertaking the Acceptance Tests or undertaking any Remedial Work under clause 18.","False","Supplier requests deletion of this provision, as it relates to installation, commissioning, Acceptance Testing and Remedial Work activities that do not form part of the Supplier's scope under this Contract. The Supplier's obligations are limited to the supply of Equipment and any expressly agreed ancillary services."
"58","96","","24.5 Not UsedDeductible","","In the event that there is a deductible payable under any Principal’s Insurance and the Supplier was responsible for the Loss or damage giving rise to the insurance claim, the Supplier shall be responsible for paying the deductible.","False","Supplier requests deletion of this clause. The Supplier does not accept liability for insurance deductibles under the Principal's insurance arrangements. Insurance deductibles are a matter between the Principal and its insurers and should remain with the party procuring the relevant insurance."
"59","96","25. Default and termination","25.1 Termination for convenience","(e)","Where the Principal terminates this Contract or any Supply Order for convenience, the Principal shall pay the Supplier for: (a) all work performed up to the date of termination; (b) all Equipment manufactured, procured or committed for manufacture or procurement; (c) all reasonable cancellation charges incurred by the Supplier; and (d) all reasonable demobilization costs arising from the termination.","False","We request the proposed amendment as the Supplier may incur significant manufacturing and procurement commitments in reliance upon Supply Orders. The proposed wording ensures recovery of unavoidable costs resulting from a convenience termination."
"60","96","","25.3 Default by the Supplier","(a)","Without limiting the Principal’s rights under clause 25.4, if the Supplier materially breaches any of its obligations under this Contract or any relevant Supply Order, the Principal may give the Supplier a notice (Supplier Default Notice) specifying:","False","Supplier requests the proposed amendment, as a default notice should only arise in respect of a material breach. As currently drafted, the provision may be triggered by any breach, including minor, technical or immaterial breaches that do not materially affect the performance of the Contract."
"61","100","","25.6 Termination compensation to Principal","","Without limiting any of the Principal’s other rights under this Contract or at Law, upon termination of this Contract under clause 25.2(a) or 25.4:","False","We request the deletion of the reference to clause 25.4. As drafted, clause 25.4 captures a broad range of matters and, if incorporated into the recovery mechanism, could significantly expand the Supplier's exposure beyond a clearly defined and proportionate allocation of risk. The Supplier is unable to accept such an open-ended recovery regime, particularly given the specialised nature of the Equipment and the commercial basis on which the Supplier has priced and agreed to provide the supply."
"62","104","27. Dispute resolution","27.3 Negotiation","(a)","If a Dispute remains unresolved 20 Business Days after receipt of the notice under clause 27.2(a), a Party may give a written notice to the other Party in accordance with this clause 27.3 (Dispute Notice) for resolution of the Dispute by the Principal’s Chief Operating Officer and the Supplier’s senior management capable of making decisions of importanceChief Executive Officer.","False","Supplier requests the proposed amendment to ensure escalation occurs at an appropriately senior level for both parties and to provide flexibility where organisational roles or titles may change over time."
"63","108","30. Indemnity and liability","30.1 Supplier’s indemnity","","The Supplier must indemnify each the Principal Indemnitee, all Principal’s Personnel and any End User from and against:","False","Request the proposed amendments to align the indemnity with market practice by limiting the Supplier's liability to losses arising from the Supplier's negligence, wrongful acts or omissions, and by introducing a proportionate reduction where the Principal or its Personnel have contributed to the relevant loss. The amendments ensure a fair and balanced allocation of risk and avoid the Supplier assuming responsibility for matters outside its control."
"64","108","","30.2 Limitation of Supplier’s liability","(b)","under its indemnity obligations under clauses 10.6(a), 22.1(d), 22.1(g) and 30.1(except clause 30.1(b)(c)); illness, injury to, or death of any person caused by the negligence of the Supplier","False","We request the proposed amendments as they reflect the extent of liability that the Supplier is able to assume under the Agreement. The Supplier is prepared to provide uncapped liability only for personal injury or death arising from its negligence and infringement of intellectual property rights, wilful misconduct. The Supplier is unable to accept additional carve-outs relating to indemnity obligations, breaches of legislation or licensing requirements, or insurance recoveries, and therefore requests that the limitation of liability regime be amended accordingly."
"65","109","","","(d)","Notwithstanding anything else contained in this Contract to the contrary, the Supplier shall not be liable under, arising out of or in connection with the Contract (to the fullest extent permitted at law) whether by way of indemnity, guarantee, or by reason of any breach of contract, or of statutory duty or by reason of tort (including but not limited to negligence) or any other legal principle or doctrine for any loss of profits, loss of use, loss of revenue, loss of data or loss of anticipated savings or for any financial or economic loss (whether direct or indirect) or for any consequential or indirect loss or damage whatsoever.","False","Supplier requests for the inclusion of a consequential loss exclusion. As currently drafted, the Agreement does not distinguish between direct losses and indirect or consequential business losses. The proposed amendment reflects a standard commercial risk allocation by excluding remote and consequential losses, such as lost profits, revenue and other economic losses, which are often disproportionate to the scope and value of the supply."
"66","110","","30.3 Application of Civil Liability Act","","","False","Supplier requests deletion of this requirement. The Supplier does not undertake to maintain insurance cover for liabilities assumed solely under the Contract, nor to ensure that its insurance policies respond to all contractual liabilities or exclusions."
"67","110","31. Aboriginal Engagement Strategy","","32.","Local content","False","Please refer to the schedule 850DCP0036 - Part C (Returnable Schedules) along with the Supplier’s offer. As known to both the parties, none of the Equipment is manufactured in Australia, accordingly the local content and related points shall apply to the Supplier only to the extent of Engineering, Project management and Technical Support is being executed in Australia."
"68","115","","34.2 Financing Documents","(b)","the assignment or novation of the Principal’s rights and interests (and where applicable obligations) under this Contract to an Enforcing Party or any other person following enforcement of the Financing Documents and agrees to enter into any agreements or documents, in a form acceptable to the Principal, acting reasonably, to effect such assignment or novation; on the same terms and conditions and","False","Supplier requests the proposed amendment to ensure any novation occurs on substantially the same terms and conditions as the Contract and does not operate as a mechanism to introduce material amendments to the agreed commercial or risk allocation provisions without the Supplier's consent."
"69","115","","34.3 Direct deed","","If requested by the Principal, the Supplier agrees to enter into (and will procure that any Guarantor enters into) a direct deed with Financiers, the Principal on terms which are consistent with market practice for project financing of a resource based project and as reasonably required by Financiers (including in relation to notices to be provided by the Supplier, consent to security and enforcement, termination, step-in, variations and assignment).","False","We request for clarification on the intent for inclusion of this provision?"
"70","115","35. General matters","35.1 Assignment and novation","(a)","The Supplier must not, without the prior written approval of the Principal’s Representative (including as to terms), assign the benefit of this Contract or any rights under this Contract. Supplier reserves it right to assign, transfer, or novate this Contract to any third party in the event of sale, divestment, or transfer of all or portion of its business or assets. The Supplier shall notify the other party in writing at least 30 days in advance of such assignment, transfer, or novation.","False","Supplier requests for and requires mutual assignment rights."
